descriptor_ui,replication_count,nodes
D000580,6,"node_10,node_4,node_5,node_7,node_8,node_9"
D000581,3,"node_1,node_2,node_4"
D000582,3,"node_1,node_2,node_4"
D000583,3,"node_3,node_4,node_8"
D000584,3,"node_4,node_7,node_8"
D000585,3,"node_4,node_8,node_9"
D000586,5,"node_1,node_10,node_4,node_5,node_7"
D000587,3,"node_1,node_2,node_4"
D000588,3,"node_10,node_4,node_7"
D000590,3,"node_3,node_4,node_5"
D000591,3,"node_1,node_2,node_4"
D000592,5,"node_3,node_4,node_5,node_7,node_8"
D000594,3,"node_1,node_2,node_4"
D000595,6,"node_10,node_2,node_4,node_7,node_8,node_9"
D000596,3,"node_3,node_4,node_5"
D000597,3,"node_3,node_4,node_5"
D000598,3,"node_3,node_4,node_5"
D000599,3,"node_3,node_4,node_5"
D000600,3,"node_3,node_4,node_5"
D000601,3,"node_3,node_4,node_5"
D000602,3,"node_2,node_4,node_5"
D000603,5,"node_10,node_3,node_4,node_5,node_7"
D000604,3,"node_1,node_2,node_4"
D000605,4,"node_10,node_4,node_6,node_7"
D000606,2,"node_3,node_4"
D000607,3,"node_4,node_7,node_8"
D000608,5,"node_10,node_2,node_3,node_5,node_8"
D000609,3,"node_4,node_8,node_9"
D000611,3,"node_4,node_7,node_8"
D000612,3,"node_1,node_2,node_4"
D000613,5,"node_3,node_4,node_5,node_7,node_9"
D000614,5,"node_3,node_4,node_5,node_7,node_9"
D000615,2,"node_4,node_7"
D000616,3,"node_4,node_7,node_8"
D000617,3,"node_3,node_4,node_8"
D000618,4,"node_4,node_7,node_8,node_9"
D000619,3,"node_1,node_2,node_4"
D000620,3,"node_4,node_7,node_8"
D000621,5,"node_3,node_4,node_5,node_7,node_9"
D000622,5,"node_3,node_4,node_5,node_7,node_9"
D000623,3,"node_1,node_2,node_4"
D000624,3,"node_1,node_2,node_4"
D000625,4,"node_10,node_4,node_7,node_9"
D000626,3,"node_1,node_2,node_4"
D000627,4,"node_10,node_4,node_7,node_8"
D000628,5,"node_10,node_4,node_7,node_8,node_9"
D000629,3,"node_4,node_7,node_8"
D000630,3,"node_4,node_8,node_9"
D000631,4,"node_10,node_4,node_7,node_8"
D000632,3,"node_4,node_7,node_8"
D000633,3,"node_1,node_2,node_4"
D000634,3,"node_4,node_8,node_9"
D000635,3,"node_4,node_7,node_8"
D000636,4,"node_4,node_7,node_8,node_9"
D000637,3,"node_1,node_2,node_4"
D000638,3,"node_4,node_8,node_9"
D000639,5,"node_4,node_5,node_7,node_8,node_9"
D000640,3,"node_4,node_7,node_8"
D000641,3,"node_3,node_4,node_6"
D000642,3,"node_1,node_2,node_4"
D000643,2,"node_4,node_6"
D000644,5,"node_10,node_2,node_4,node_6,node_7"
D000645,2,"node_4,node_6"
D000646,3,"node_1,node_3,node_5"
D000647,7,"node_1,node_10,node_2,node_3,node_4,node_6,node_9"
D000648,7,"node_1,node_10,node_2,node_3,node_4,node_6,node_9"
D000649,6,"node_10,node_2,node_5,node_6,node_7,node_9"
D000650,4,"node_1,node_2,node_6,node_9"
D000652,3,"node_3,node_5,node_9"
D000653,4,"node_1,node_2,node_6,node_8"
D000654,3,"node_4,node_7,node_8"
D000655,3,"node_4,node_8,node_9"
D000656,3,"node_2,node_7,node_8"
D000657,3,"node_4,node_8,node_9"
D000658,5,"node_10,node_4,node_7,node_8,node_9"
D000659,3,"node_1,node_2,node_4"
D000661,3,"node_10,node_4,node_7"
D000662,3,"node_10,node_4,node_7"
D000663,2,"node_2,node_8"
D000664,4,"node_1,node_4,node_7,node_8"
D000665,2,"node_1,node_4"
D000666,3,"node_3,node_4,node_7"
D000667,5,"node_10,node_4,node_7,node_8,node_9"
D000668,5,"node_1,node_4,node_7,node_8,node_9"
D000669,2,"node_5,node_8"
